_id,Unnamed: 0,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
ObjectId("5c80968cd5cf373b2803c3aa"),26,5b4aa4ead3089013507db1b3,NOTHING TO LOSE,http://www.amazon.com/Nothing-Lose-Jack-Reacher-No/dp/0440245583?tag=NYTBS-20,Lee Child,Delacorte,Jack Reacher exposes the secrets of a Colorado town.,1214092800000,1212796800000,1,0,1,27,9.99,1982,3.9,37
ObjectId("5c80968cd5cf373b2803c3ab"),27,5b4aa4ead3089013507db1b5,PLAGUE SHIP,http://www.amazon.com/Plague-Ship-The-Oregon-Files/dp/0425226697?tag=NYTBS-20,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,1214092800000,1212796800000,3,0,1,26.95,4.99,310,4.5,18.52
ObjectId("5c80968cd5cf373b2803c3ac"),28,5b4aa4ead3089013507db1bb,DEATH AND HONOR,http://www.amazon.com/Death-Honor-Bound-Book/dp/0515146382?tag=NYTBS-20,W E B Griffin and William E Butterworth IV,Putnam,A Marine pilot spies in  Argentina in 1943; the fourth book in the Honor Bound series.,1214092800000,1212796800000,9,0,1,26.95,9.99,191,4.4,37.07
ObjectId("5c80968cd5cf373b2803c3ad"),29,5b4aa4ead3089013507db1c2,THE SPIES OF WARSAW,http://www.amazon.com/The-Spies-Warsaw-A-Novel/dp/0812977378?tag=NYTBS-20,Alan Furst,Random House,Intrigue in Poland just before World War II.,1214092800000,1212796800000,16,0,1,25,12.99,262,4.3,51.96
ObjectId("5c80968cd5cf373b2803c3ae"),30,5b4aa4ead3089013507db1c3,THE GARDEN OF LAST DAYS,http://www.amazon.com/The-Garden-Last-Days-Novel/dp/0393041654?tag=NYTBS-20,Andre Dubus,Norton & Company, Incorporated, W. W.,NaN,1214092800000,1212796800000,17,0,0,0,9.99,168,3.6,Infinity
ObjectId("5c80968cd5cf373b2803c3af"),31,5b4aa4ead3089013507db1c5,RESOLUTION,http://www.amazon.com/Resolution-Robert-B-Parker/dp/0425227995?tag=NYTBS-20,Robert B Parker,Penguin Group (USA) Incorporated,NaN,1214092800000,1212796800000,19,0,0,0,9.99,225,4.2,Infinity
ObjectId("5c80968cd5cf373b2803c3b0"),32,5b4aa4ead3089013507db1c7,SAIL,http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20,James Patterson and Howard Roughan,Little, Brown,A sailing vacation turns into a disaster when someone attempts to destroy a family.,1214697600000,1213401600000,1,0,1,27.99,7.99,468,3.9,28.55
ObjectId("5c80968cd5cf373b2803c3b1"),33,5b4aa4ead3089013507db1cd,THE BROKEN WINDOW,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20,Jeffery Deaver,Simon & Schuster,Detectives Lincoln Rhyme and Amelia Sachs come up against a criminal who uses identity theft to frame innocent people for murdering his victims.,1214697600000,1213401600000,7,0,1,26.95,9.99,463,4.5,37.07
ObjectId("5c80968cd5cf373b2803c3b2"),34,5b4aa4ead3089013507db1cf,MARRIED LOVERS,http://www.amazon.com/Married-Lovers-Jackie-Collins/dp/0312341814?tag=NYTBS-20,Jackie Collins,St. Martin’s,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,1214697600000,1213401600000,9,0,1,26.95,9.99,90,4.2,37.07
ObjectId("5c80968cd5cf373b2803c3b3"),35,5b4aa4ead3089013507db1d4,THE STORY OF EDGAR SAWTELLE,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Ecco,A young mute who can communicate with dogs his family raises takes refuge with three of them in the Wisconsin woods after his uncle murders his father.,1214697600000,1213401600000,14,0,1,25.95,8.99,2573,3.8,34.64
